Family;Species;Realm affinity;CTmax;SD CTmax
Acanthuridae;Acanthurus blochii;Marine;38,36;2,68
Acanthuridae;Acanthurus chirurgus;Marine;38,30;3,17
Acanthuridae;Acanthurus coeruleus;Marine;38,17;3,08
Acanthuridae;Acanthurus dussumieri;Marine;38,33;2,84
Acanthuridae;Acanthurus guttatus;Marine;38,53;2,97
Acanthuridae;Acanthurus japonicus;Marine;38,49;3,15
Acanthuridae;Acanthurus mata;Marine;38,60;2,68
Acanthuridae;Acanthurus nigricans;Marine;38,52;3,15
Acanthuridae;Acanthurus nigroris;Marine;37,42;3,17
Acanthuridae;Acanthurus nubilus;Marine;38,71;3,16
Acanthuridae;Acanthurus thompsoni;Marine;38,41;2,84
Acanthuridae;Acanthurus triostegus;Marine;38,43;2,97
Acanthuridae;Acanthurus xanthopterus;Marine;38,59;2,86
Acanthuridae;Ctenochaetus binotatus;Marine;38,33;3,17
Acanthuridae;Ctenochaetus cyanocheilus;Marine;38,67;3,16
Acanthuridae;Ctenochaetus striatus;Marine;38,45;3,17
Acanthuridae;Ctenochaetus strigosus;Marine;37,62;2,86
Acanthuridae;Naso annulatus;Marine;38,73;2,86
Acanthuridae;Naso brachycentron;Marine;38,65;2,86
Acanthuridae;Naso caeruleacauda;Marine;38,38;2,39
Acanthuridae;Naso caesius;Marine;38,27;3,08
Acanthuridae;Naso elegans;Marine;38,52;2,97
Acanthuridae;Naso fageni;Marine;38,19;2,97
Acanthuridae;Naso hexacanthus;Marine;38,39;3,08
Acanthuridae;Naso lituratus;Marine;38,56;2,97
Acanthuridae;Naso maculatus;Marine;37,91;2,86
Acanthuridae;Naso mcdadei;Marine;38,33;2,97
Acanthuridae;Naso minor;Marine;38,53;2,36
Acanthuridae;Naso thynnoides;Marine;38,57;2,55
Acanthuridae;Naso tonganus;Marine;38,39;2,97
Acanthuridae;Naso tuberosus;Marine;38,27;2,97
Acanthuridae;Naso unicornis;Marine;38,57;2,86
Acanthuridae;Naso vlamingii;Marine;38,42;2,97
Acanthuridae;Paracanthurus hepatus;Marine;38,44;2,68
Acanthuridae;Prionurus laticlavius;Marine;37,57;2,68
Acanthuridae;Prionurus maculatus;Marine;36,34;2,84
Acanthuridae;Prionurus microlepidotus;Marine;36,57;2,55
Acanthuridae;Prionurus scalprum;Marine;37,58;2,84
Acanthuridae;Zebrasoma flavescens;Marine;38,09;2,39
Acanthuridae;Zebrasoma scopas;Marine;38,54;2,55
Acanthuridae;Zebrasoma velifer;Marine;38,34;2,68
Achiridae;Trinectes maculatus;Freshwater;37,31;2,39
Acipenseridae;Acipenser baerii;Freshwater;30,73;0,19
Acipenseridae;Acipenser brevirostrum;Freshwater;34,76;0,16
Acipenseridae;Acipenser fulvescens;Freshwater;32,21;0,79
Acipenseridae;Acipenser gueldenstaedtii;Freshwater;33,69;1,12
