pred,prey
Pomatoschistus microps,Pomatoschistus minutus
Pomatoschistus microps,Pomatoschistus microps
Salmo trutta,Neogobius melanostomus
Salmo trutta,Salvelinus alpinus
Salmo trutta,Cheimarrichthys fosteri
Salmo trutta,Leucaspius delineatus
Salmo trutta,Cottus gobio
Salmo trutta,Leuciscus leuciscus
Paralichthys olivaceus,Engraulis japonicus
Paralichthys olivaceus,Scomberomorus niphonius
Paralichthys olivaceus,Sillago sihama
Paralichthys olivaceus,Paralichthys olivaceus
Cottus aleuticus,Rhinichthys osculus
Cottus aleuticus,Oncorhynchus gorbuscha
Cottus aleuticus,Oncorhynchus keta
Richardsonius balteatus,Richardsonius balteatus
Richardsonius balteatus,Xyrauchen texanus
Morone chrysops,Gambusia affinis
Morone chrysops,Pomoxis nigromaculatus
Morone chrysops,Lepomis macrochirus
Morone chrysops,Sander vitreus
Morone chrysops,Dorosoma cepedianum
Morone chrysops,Perca flavescens
Morone chrysops,Cyprinus carpio
Morone chrysops,Morone chrysops
Coregonus peled,Coregonus lavaretus
Coregonus peled,Pungitius pungitius
Coregonus peled,Phoxinus phoxinus
Coregonus peled,Cottus gobio
Coregonus peled,Coregonus albula
Scardinius erythrophthalmus,Pseudorasbora parva
Engraulis japonicus,Engraulis japonicus
Auxis thazard,Trachurus japonicus
Auxis thazard,Katsuwonus pelamis
Auxis thazard,Auxis thazard
Clupea harengus,Anguilla anguilla
Clupea harengus,Pleuronectes platessa
Clupea harengus,Gadus morhua
Clupea harengus,Clupea harengus
Neolamprologus savoryi,Julidochromis marlieri
Pygocentrus nattereri,Astyanax bimaculatus
Hepsetus odoe,Synodontis schall
Hepsetus odoe,Schilbe mystus
Xiphias gladius,Salmo salar
Xiphias gladius,Xiphias gladius
Xiphias gladius,Engraulis mordax
Xiphias gladius,Scomber scombrus
Xiphias gladius,Clupea harengus
Xiphias gladius,Scomber japonicus
Xiphias gladius,Boops boops
Xiphias gladius,Stenotomus chrysops
Xiphias gladius,Anguilla anguilla
Xiphias gladius,Centropristis striata
Xiphias gladius,Gadus morhua
Holacanthus passer,Abudefduf troschelii
Sander volgensis,Gobio gobio
Pagellus bogaraveo,Gobius paganellus
Huso huso,Atherina boyeri
Huso huso,Leuciscus aspius
Huso huso,Rutilus frisii
Huso huso,Carassius carassius
Huso huso,Scorpaena porcus
Huso huso,Acipenser ruthenus
Huso huso,Rutilus rutilus
Huso huso,Cyprinus carpio
Huso huso,Scomber scombrus
Huso huso,Alosa sapidissima
Huso huso,Misgurnus fossilis
Huso huso,Platichthys flesus
Huso huso,Scardinius erythrophthalmus
Huso huso,Gasterosteus aculeatus
Huso huso,Acipenser stellatus
Huso huso,Vimba vimba
Huso huso,Sander lucioperca
Huso huso,Abramis brama
Huso huso,Neogobius fluviatilis
Huso huso,Neogobius melanostomus
Eleotris fusca,Redigobius bikolanus
Eleotris fusca,Eleotris acanthopoma
Pleuronectes platessa,Anguilla anguilla
Pleuronectes platessa,Clupea harengus
Pleuronectes platessa,Gadus morhua
Pleuronectes platessa,Pomatoschistus minutus
Pleuronectes platessa,Blennius ocellaris
Pleuronectes platessa,Pleuronectes platessa
Silurus glanis,Perca fluviatilis
Silurus glanis,Salmo salar
Silurus glanis,Abramis brama
Silurus glanis,Alburnus alburnus
Silurus glanis,Blicca bjoerkna
Silurus glanis,Scardinius erythrophthalmus
Silurus glanis,Cyprinus carpio
Silurus glanis,Rutilus rutilus
Silurus glanis,Vimba vimba
Silurus glanis,Luciobarbus brachycephalus
Silurus glanis,Alosa caspia
Silurus glanis,Rutilus frisii
Silurus glanis,Carassius carassius
Silurus glanis,Neogobius fluviatilis
Silurus glanis,Tinca tinca
Silurus glanis,Esox lucius
Silurus glanis,Silurus glanis
Silurus glanis,Barbus caninus
Silurus glanis,Sabanejewia larvata
Silurus glanis,Alburnus arborella
Silurus glanis,Syngnathus abaster
Silurus glanis,Atherina boyeri
Silurus glanis,Chondrostoma soetta
Silurus glanis,Salmo labrax
Silurus glanis,Telestes muticellus
Silurus glanis,Rutilus aula
Silurus glanis,Acipenser naccarii
Silurus glanis,Salmo marmoratus
Silurus glanis,Alosa fallax
Silurus glanis,Hypophthalmichthys molitrix
Silurus glanis,Cobitis bilineata
Silurus glanis,Cobitis taenia
Silurus glanis,Telestes souffia
Silurus glanis,Padogobius bonelli
Silurus glanis,Pseudorasbora parva
Silurus glanis,Squalius cephalus
Silurus glanis,Salvelinus namaycush
Silurus glanis,Ctenopharyngodon idella
Silurus glanis,Gasterosteus aculeatus
