species_alias,species_raw_names,kingdom_local,phylum_local,class_local,order_local,family_local,habitat_sources,group_local,trait_sources,consumer_taxon_status,queried_as_consumer,exclusion_reason
Aaptosyax grypus,Aaptosyax grypus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Abra tenuis,Abra tenuis,,Mollusca,Bivalvia,Veneroida,Semelidae,"",,GlobTherm,animal,TRUE,""
Abramis brama,Abramis brama,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Abrotanella patearoa,Abrotanella patearoa,,Streptophyta,Spermatophyta,Asterales,Asteraceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Abudefduf declivifrons,Abudefduf declivifrons,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,ComteOlden,animal,TRUE,""
Abudefduf saxatilis,Abudefduf saxatilis,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,ComteOlden,animal,TRUE,""
Abudefduf sordidus,Abudefduf sordidus,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,ComteOlden,animal,TRUE,""
Abudefduf troschelii,Abudefduf troschelii,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,ComteOlden,animal,TRUE,""
Acacia melanoxylon,Acacia melanoxylon,,Streptophyta,Spermatophyta,Fabales,Fabaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acantharchus pomotis,Acantharchus pomotis,Animalia,Chordata,Actinopterygii,,Centrarchidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthobrama lissneri,Acanthobrama lissneri,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthobrama marmid,Acanthobrama marmid,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthobrama microlepis,Acanthobrama microlepis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthobrama terraesanctae,Acanthobrama terraesanctae,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthocobitis botia,Acanthocobitis botia,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthocobitis pavonacea,Acanthocobitis pavonacea,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthocobitis zonalternans,Acanthocobitis zonalternans,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthocybium solandri,Acanthocybium solandri,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthodactylus erythrurus,Acanthodactylus erythrurus,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Acanthogobius flavimanus,Acanthogobius flavimanus,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthopagrus australis,Acanthopagrus australis,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus berda,Acanthopagrus berda,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus butcheri,Acanthopagrus butcheri,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus chinshira,Acanthopagrus chinshira,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus latus,Acanthopagrus latus,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,marine;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Acanthopagrus sivicolus,Acanthopagrus sivicolus,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Acanthopsoides gracilentus,Acanthopsoides gracilentus,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthopsoides hapalias,Acanthopsoides hapalias,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acanthurus blochii,Acanthurus blochii,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus chirurgus,Acanthurus chirurgus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus coeruleus,Acanthurus coeruleus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus dussumieri,Acanthurus dussumieri,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus guttatus,Acanthurus guttatus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus japonicus,Acanthurus japonicus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus mata,Acanthurus mata,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus nigricans,Acanthurus nigricans,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus nigroris,Acanthurus nigroris,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus nubilus,Acanthurus nubilus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus thompsoni,Acanthurus thompsoni,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus triostegus,Acanthurus triostegus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acanthurus xanthopterus,Acanthurus xanthopterus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Acar domingensis,Acar domingensis,,Mollusca,Bivalvia,Arcoida,Arcidae,"",,GlobTherm,animal,TRUE,""
Acca sellowiana,Acca sellowiana,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acer saccharum,Acer saccharum,,Streptophyta,Spermatophyta,Sapindales,Aceraceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acheilognathus barbatulus,Acheilognathus barbatulus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acheilognathus macropterus,Acheilognathus macropterus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acheilognathus tonkinensis,Acheilognathus tonkinensis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Achoerodus viridis,Achoerodus viridis,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Achondrostoma arcasii,Achondrostoma arcasii,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Achondrostoma occidentale,Achondrostoma occidentale,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Achondrostoma oligolepis,Achondrostoma oligolepis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser baerii,Acipenser baerii,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Acipenser brevirostrum,Acipenser brevirostrum,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Acipenser fulvescens,Acipenser fulvescens,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser medirostris,Acipenser medirostris,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Acipenser naccarii,Acipenser naccarii,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser nudiventris,Acipenser nudiventris,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser oxyrinchus,Acipenser oxyrinchus,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser persicus,Acipenser persicus,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser ruthenus,Acipenser ruthenus,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser stellatus,Acipenser stellatus,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser sturio,Acipenser sturio,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,ComteOlden,animal,TRUE,""
Acipenser transmontanus,Acipenser transmontanus,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Aciphylla hectorii,Aciphylla hectorii,,Streptophyta,Spermatophyta,Apiales,Apiaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Ackama rosifolia,Ackama rosifolia,,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acmadenia heterophylla,Acmadenia heterophylla,,Streptophyta,Spermatophyta,Sapindales,Rutaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acmena smithii,Acmena smithii,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acmispon glaber,Acmispon glaber,,Streptophyta,Spermatophyta,Fabales,Fabaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acontias meleagris,Acontias meleagris,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Acradenia frankliniae,Acradenia frankliniae,,Streptophyta,Spermatophyta,Sapindales,Rutaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Acris crepitans,Acris crepitans,,Chordata,Amphibia,Anura,Hylidae,"",,GlobTherm,animal,TRUE,""
Acrocheilus alutaceus,Acrocheilus alutaceus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Acroneuria lycorias,Acroneuria lycorias,Metazoa,Arthropoda,Insecta,Plecoptera,Perlidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Adamussium colbecki,Adamussium colbecki,,Mollusca,Bivalvia,Pectinoida,Pectinidae,"",,GlobTherm,animal,TRUE,""
Adelotus brevis,Adelotus brevis,,Chordata,Amphibia,Anura,Myobatrachidae,"",,GlobTherm,animal,TRUE,""
Adenandra uniflora,Adenandra uniflora,,Streptophyta,Spermatophyta,Sapindales,Rutaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Adenophlebia peringueyella,Adenophlebia peringueyella,Metazoa,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Adenostoma fasciculatum,Adenostoma fasciculatum,,Streptophyta,Spermatophyta,Rosales,Rosaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Aedes aegypti,Aedes aegypti,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Aegopodium podagraria,Aegopodium podagraria,,Streptophyta,Spermatophyta,Apiales,Apiaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Aequidens pallidus,Aequidens pallidus,Metazoa,Chordata,Actinopteri,Acanthomorphata,Cichlidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Aeshna canadensis,Aeshna canadensis,Metazoa,Arthropoda,Insecta,Odonata,Aeshnidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Aeshna eremita,Aeshna eremita,Metazoa,Arthropoda,Insecta,Odonata,Aeshnidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Aeshna interrupta,Aeshna interrupta,Metazoa,Arthropoda,Insecta,Odonata,Aeshnidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Aeshna umbrosa,Aeshna umbrosa,Metazoa,Arthropoda,Insecta,Odonata,Aeshnidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Afronurus barnardi,Afronurus barnardi,Metazoa,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Agabus bipustulatus,Agabus bipustulatus,Metazoa,Arthropoda,Insecta,Coleoptera,Dytiscidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Agapetus fuscipes,Agapetus fuscipes,Metazoa,Arthropoda,Insecta,Trichoptera,Glossosomatidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Agkistrodon contortrix,Agkistrodon contortrix,,Chordata,Lepidosauria,Squamata,Viperidae,"",,GlobTherm,animal,TRUE,""
Agnetina capitata,Agnetina capitata,Metazoa,Arthropoda,Insecta,Plecoptera,Perlidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Agonis flexuosa,Agonis flexuosa,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Agonostomus telfairii,Agonostomus telfairii,Animalia,Chordata,Actinopterygii,,Mugilidae,freshwater,fish,ComteOlden,animal,TRUE,""
Agosia chrysogaster,Agosia chrysogaster,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,ComteOlden;GlobTherm;ThermoFresh,animal,TRUE,""
Agroeca proxima,Agroeca proxima,,Arthropoda,Arachnida,Araneae,Liocranidae,"",,GlobTherm,animal,TRUE,""
Aidablennius sphynx,Aidablennius sphynx,Animalia,Chordata,Actinopterygii,,Blenniidae,marine,fish,ComteOlden,animal,TRUE,""
Ailia coila,Ailia coila,Animalia,Chordata,Actinopterygii,,Schilbeidae,freshwater,fish,ComteOlden,animal,TRUE,""
Akrokolioplax bicornis,Akrokolioplax bicornis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
