accepted_species,aliases,species_raw_names,kingdom_local,phylum_local,class_local,order_local,family_local,habitat_sources,group_local,trait_sources,trait_value_ctmax,trait_value_ctmin,trait_value_lt50,trait_value_ltmax,trait_sd_ctmax,trait_sd_ctmin,trait_sd_lt50,trait_sd_ltmax,trait_n_ctmax,trait_n_ctmin,trait_n_lt50,trait_n_ltmax,selected_trait_source_ctmax,selected_trait_source_ctmin,selected_trait_source_lt50,selected_trait_source_ltmax,source_trait_mean_ComteOlden_ctmax,source_trait_mean_GlobTherm_ctmax,source_trait_mean_GlobTherm_ctmin,source_trait_mean_GlobTherm_lt50,source_trait_mean_ThermoFresh_ctmax,source_trait_mean_ThermoFresh_ctmin,source_trait_mean_ThermoFresh_lt50,source_trait_mean_ThermoFresh_ltmax,source_trait_sd_ComteOlden_ctmax,source_trait_sd_GlobTherm_ctmax,source_trait_sd_GlobTherm_ctmin,source_trait_sd_GlobTherm_lt50,source_trait_sd_ThermoFresh_ctmax,source_trait_sd_ThermoFresh_ctmin,source_trait_sd_ThermoFresh_lt50,source_trait_sd_ThermoFresh_ltmax,source_trait_n_ComteOlden_ctmax,source_trait_n_GlobTherm_ctmax,source_trait_n_GlobTherm_ctmin,source_trait_n_GlobTherm_lt50,source_trait_n_ThermoFresh_ctmax,source_trait_n_ThermoFresh_ctmin,source_trait_n_ThermoFresh_lt50,source_trait_n_ThermoFresh_ltmax,globi_taxon_paths,globi_taxon_ids,tetraeu_taxon_ids,habitat_class,recorded_as_consumer,recorded_as_resource,is_animal,available_metrics,n_available_metrics,recorded_consumer_degree,recorded_resource_consumers
A affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",no:match,,unknown,FALSE,TRUE,FALSE,"",0,0,3
A flos-aquae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",no:match,,unknown,FALSE,TRUE,FALSE,"",0,0,1
A rectangula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",no:match,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Aaptos aaptos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biota | Eukaryota | Amorphea | Obazoa | Opisthokonta | Holozoa | Filozoa | Apoikozoa | Metazoa | Parazoa | Porifera | Cellularia | Demospongiae | Tetractinomorpha | Hadromerida | Suberitidae | Aaptos | Aaptos aaptos,WD:Q2382180,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Aaptosyax grypus,Aaptosyax grypus,Aaptosyax grypus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,40.99,,,,,,,,1,,,,ComteOlden,,,,40.99,,,,,,,,,,,,,,,,1,,,,,,,,Aaptosyax grypus;root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Actinopterygii | Actinopteri | Neopterygii | Teleostei | Osteoglossocephalai | Clupeocephala | Otomorpha | Ostariophysi | Otophysi | Cypriniphysae | Cypriniformes | Cyprinoidei | Cyprinidae | Cyprininae | Aaptosyax | Aaptosyax grypus,NCBI:143610;WD:Q133980,,freshwater,FALSE,FALSE,TRUE,ctmax,1,0,0
Abarenicola affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiralia | Lophotrochozoa | Annelida | Polychaeta | Scolecida | Arenicolidae | Abarenicola | Abarenicola affinis,WD:Q5151086,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abax baenningeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax baenningeri,WD:Q13221046,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax carinatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax carinatus,WD:Q4663595,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax contractus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Coleoptera | Adephaga | Carabidae | Pterostichinae | Pterostichini | Pterostichina | Abax | Abax (Abax) | Abax contractus | Abax contractus contractus,COL:8MKPK,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abax exaratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax exaratus,WD:Q13221050,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax fiorii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax fiorii,WD:Q13221051,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax oblongus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax oblongus,WD:Q13221052,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax ovalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Coleoptera | Adephaga | Carabidae | Pterostichinae | Pterostichini | Pterostichina | Abax | Abax (Abax) | Abax ovalis,COL:8JLB,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abax parallelepipedus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Coleoptera | Adephaga | Carabidae | Pterostichinae | Pterostichini | Pterostichina | Abax | Abax (Abax) | Abax parallelepipedus,COL:8JLC,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abax parallelus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleoptera | Adephaga | Caraboidea | Carabidae | Harpalinae | Abax | Abax parallelus,WD:Q13221055,,unknown,FALSE,TRUE,FALSE,"",0,0,1
Abax pilleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Coleoptera | Adephaga | Carabidae | Pterostichinae | Pterostichini | Pterostichina | Abax | Abax (Abax) | Abax pilleri,COL:63YSR,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abietinaria abietina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biota | Eukaryota | Amorphea | Obazoa | Opisthokonta | Holozoa | Filozoa | Apoikozoa | Animalia | Eumetazoa | Radiata | Cnidaria | Medusozoa | Hydrozoa | Hydroidolina | Leptomedusae | Sertulariidae | Abietinaria | Abietinaria abietina,WD:Q2102397,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Ablabesmyia longistyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diptera | Nematocera | Culicomorpha | Chironomoidea | Chironomidae | Ablabesmyia | Ablabesmyia longistyla,WD:Q13849485,,unknown,FALSE,TRUE,FALSE,"",0,0,22
Ablabesmyia monilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Diptera | Chironomidae | Tanypodinae | Pentaneurini | Ablabesmyia | Ablabesmyia (Ablabesmyia) | Ablabesmyia monilis,COL:8KY9,,unknown,FALSE,TRUE,TRUE,"",0,0,23
Ablabesmyia phatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Diptera | Chironomidae | Tanypodinae | Pentaneurini | Ablabesmyia | Ablabesmyia (Ablabesmyia) | Ablabesmyia phatta,COL:9H7DB,,unknown,FALSE,TRUE,TRUE,"",0,0,22
Ablennes hians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eukaryota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Actinopteri | Teleostei | Beloniformes | Belonidae | Ablennes | Ablennes hians,COL:8L46,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Ablepharus bivittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neodiapsida | Sauria | Lepidosauromorpha | Lepidosauria | Squamata | Scincoidea | Scincidae | Lygosominae | Ablepharus | Ablepharus bivittatus,WD:Q2508413,R1,unknown,FALSE,TRUE,TRUE,"",0,0,104
Ablepharus budaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neodiapsida | Sauria | Lepidosauromorpha | Lepidosauria | Squamata | Scincoidea | Scincidae | Lygosominae | Ablepharus | Ablepharus budaki,WD:Q2367030,R2,unknown,FALSE,TRUE,TRUE,"",0,0,104
Ablepharus chernovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neodiapsida | Sauria | Lepidosauromorpha | Lepidosauria | Squamata | Scincoidea | Scincidae | Lygosominae | Ablepharus | Ablepharus chernovi,WD:Q2710673,R3,unknown,FALSE,TRUE,TRUE,"",0,0,105
Ablepharus kitaibelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neodiapsida | Sauria | Lepidosauromorpha | Lepidosauria | Squamata | Scincoidea | Scincidae | Lygosominae | Ablepharus | Ablepharus kitaibelii,WD:Q931333,R4,unknown,FALSE,TRUE,TRUE,"",0,0,105
Ablepharus pannonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neodiapsida | Sauria | Lepidosauromorpha | Lepidosauria | Squamata | Scincoidea | Scincidae | Lygosominae | Ablepharus | Ablepharus pannonicus,WD:Q2699704,R5,unknown,FALSE,TRUE,TRUE,"",0,0,105
Abludomelita denticulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Senticaudata | Hadziida | Hadziidira | Melitidae | Abludomelita | Abludomelita denticulata,WD:Q6486621,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abludomelita japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Senticaudata | Hadziida | Hadziidira | Melitidae | Abludomelita | Abludomelita japonica,WD:Q6486269,,unknown,FALSE,TRUE,TRUE,"",0,0,1
Abra alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiralia | Lophotrochozoa | Mollusca | Bivalvia | Heterodonta | Veneroida | Tellinoidea | Semelidae | Abra | Abra alba;root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Spiralia | Lophotrochozoa | Mollusca | Bivalvia | Autobranchia | Heteroconchia | Euheterodonta | Imparidentia | Neoheterodontei | Cardiida | Tellinoidea | Semelidae | Abra | Abra alba,NCBI:399303;WD:Q2568492,,unknown,FALSE,TRUE,TRUE,"",0,0,5
Abra nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiralia | Lophotrochozoa | Mollusca | Bivalvia | Heterodonta | Veneroida | Tellinoidea | Semelidae | Abra | Abra nitida,WD:Q3802808,,unknown,FALSE,TRUE,TRUE,"",0,0,2
