species_alias,accepted_species,species_raw,metric,trait_value,trait_source,source_record_id,kingdom,phylum,class,order,family,habitat_class,group,source_priority
Aaptosyax grypus,Aaptosyax grypus,Aaptosyax grypus,ctmax,40.99,ComteOlden,ComteOlden_row_907,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Abra tenuis,Abra tenuis,Abra tenuis,lt50,33.44,GlobTherm,GlobTherm_row_533_upper_primary,,Mollusca,Bivalvia,Veneroida,Semelidae,unknown,,3
Abra tenuis,Abra tenuis,Abra tenuis,lt50,-1.68,GlobTherm,GlobTherm_row_533_lower_primary,,Mollusca,Bivalvia,Veneroida,Semelidae,unknown,,3
Abramis brama,Abramis brama,Abramis brama,ctmax,30.32,ComteOlden,ComteOlden_row_908,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Abrotanella patearoa,Abrotanella patearoa,Abrotanella patearoa,lt50,-7.5,GlobTherm,GlobTherm_row_2030_lower_primary,,Streptophyta,Spermatophyta,Asterales,Asteraceae,unknown,,3
Abudefduf declivifrons,Abudefduf declivifrons,Abudefduf declivifrons,ctmax,39.29,ComteOlden,ComteOlden_row_2644,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,2
Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf saxatilis,ctmax,39.47,ComteOlden,ComteOlden_row_2645,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,2
Abudefduf sordidus,Abudefduf sordidus,Abudefduf sordidus,ctmax,39.69,ComteOlden,ComteOlden_row_2646,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,2
Abudefduf troschelii,Abudefduf troschelii,Abudefduf troschelii,ctmax,37.91,ComteOlden,ComteOlden_row_2647,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,2
Acacia melanoxylon,Acacia melanoxylon,Acacia melanoxylon,lt50,-7.9,GlobTherm,GlobTherm_row_1915_lower_primary,,Streptophyta,Spermatophyta,Fabales,Fabaceae,unknown,,3
