predator,prey
Alosa sapidissima,Oncorhynchus tshawytscha
Alosa sapidissima,Gammarus fasciatus
Alosa sapidissima,Hyalella azteca
Alosa sapidissima,Gammarus tigrinus
Esox lucius,Cyprinella spiloptera
Esox lucius,Erpobdella octoculata
Esox lucius,Serratella ignita
Esox lucius,Carassius carassius
Esox lucius,Elmis aenea
Esox lucius,Leuctra fusca
Esox lucius,Gasterosteus aculeatus
Esox lucius,Rhyacophila dorsalis
Esox lucius,Sigara lateralis
Esox lucius,Limnius volckmari
Esox lucius,Nemurella pictetii
Esox lucius,Gobio gobio
Esox lucius,Ancylus fluviatilis
Esox lucius,Astacus astacus
Esox lucius,Perca fluviatilis
Esox lucius,Baetis vernus
Esox lucius,Baetis rhodani
Esox lucius,Rhithrogena semicolorata
Esox lucius,Coregonus clupeaformis
Esox lucius,Tinca tinca
Esox lucius,Hydropsyche pellucidula
Esox lucius,Alburnus alburnus
Esox lucius,Dallia pectoralis
Esox lucius,Thymallus thymallus
Esox lucius,Labidesthes sicculus
Esox lucius,Pimephales notatus
Esox lucius,Gammarus pulex
Esox lucius,Leuciscus idus
Esox lucius,Gymnocephalus cernua
Esox lucius,Barbatula barbatula
Esox lucius,Sander lucioperca
Esox lucius,Lepomis gibbosus
Esox lucius,Procambarus clarkii
Esox lucius,Lota lota
Esox lucius,Sander vitreus
Esox lucius,Lepomis macrochirus
Esox lucius,Micropterus salmoides
Esox lucius,Dorosoma cepedianum
Esox lucius,Platichthys flesus
Esox lucius,Catostomus commersonii
Esox lucius,Salmo trutta
Esox lucius,Anguilla anguilla
Esox lucius,Cyprinus carpio
Esox lucius,Salmo salar
Esox lucius,Rutilus rutilus
Esox lucius,Esox lucius
Esox lucius,Agabus brunneus
Esox lucius,Deronectes latus
Esox lucius,Deronectes moestus
Esox lucius,Deronectes opatrinus
Esox lucius,Hydroporus memnonius
Esox lucius,Hydroporus sabaudus
Maccullochella peelii,Hypseleotris klunzingeri
Maccullochella peelii,Carassius auratus
Maccullochella peelii,Cyprinus carpio
Maccullochella peelii,Perca fluviatilis
Gasterosteus aculeatus,Potamopyrgus antipodarum
Gasterosteus aculeatus,Pleuronectes platessa
Gasterosteus aculeatus,Clupea pallasii
Gasterosteus aculeatus,Radix balthica
Gasterosteus aculeatus,Rhyacophila dorsalis
Gasterosteus aculeatus,Crangon crangon
Gasterosteus aculeatus,Physa fontinalis
Gasterosteus aculeatus,Baetis vernus
Gasterosteus aculeatus,Baetis rhodani
Gasterosteus aculeatus,Asellus aquaticus
Gasterosteus aculeatus,Gammarus fasciatus
Gasterosteus aculeatus,Corophium volutator
Gasterosteus aculeatus,Hyalella azteca
Gasterosteus aculeatus,Prodiamesa olivacea
Gasterosteus aculeatus,Gammarus tigrinus
Gasterosteus aculeatus,Hydropsyche pellucidula
Ameiurus nebulosus,Chironomus longistylus
Ameiurus nebulosus,Psectrotanypus varius
Ameiurus nebulosus,Pseudodiamesa branickii
Ameiurus nebulosus,Salvelinus namaycush
Ameiurus nebulosus,Paratendipes albimanus
Ameiurus nebulosus,Prodiamesa olivacea
Ameiurus nebulosus,Micropsectra junci
Ameiurus nebulosus,Dreissena polymorpha
Pomatoschistus microps,Corophium volutator
Pomatoschistus microps,Pomatoschistus minutus
Pomatoschistus microps,Marinogammarus marinus
Pomatoschistus microps,Crangon crangon
Pomatoschistus microps,Carcinus maenas
Pomatoschistus microps,Pomatoschistus microps
Oncorhynchus clarkii,Oncorhynchus nerka
Oncorhynchus clarkii,Clupea pallasii
Oncorhynchus clarkii,Oncorhynchus tshawytscha
Oncorhynchus clarkii,Boreogadus saida
Oncorhynchus clarkii,Oncorhynchus kisutch
Oncorhynchus clarkii,Oncorhynchus gorbuscha
Oncorhynchus clarkii,Oncorhynchus keta
Oncorhynchus clarkii,Oncorhynchus clarkii
Salmo trutta,Aoteapsyche colonica
Salmo trutta,Zelandobius furcillatus
Salmo trutta,Paracalliope fluviatilis
Salmo trutta,Erpobdella octoculata
Salmo trutta,Serratella ignita
Salmo trutta,Sialis lutaria
Salmo trutta,Cordulegaster boltonii
Salmo trutta,Ephemera danica
Salmo trutta,Agabus didymus
Salmo trutta,Radix balthica
Salmo trutta,Elmis aenea
Salmo trutta,Pycnocentria evecta
Salmo trutta,Leuctra fusca
Salmo trutta,Gasterosteus aculeatus
Salmo trutta,Rhyacophila dorsalis
Salmo trutta,Limnius volckmari
Salmo trutta,Nemurella pictetii
Salmo trutta,Physa fontinalis
Salmo trutta,Gobio gobio
Salmo trutta,Ancylus fluviatilis
Salmo trutta,Asellus aquaticus
Salmo trutta,Corophium volutator
Salmo trutta,Crangon crangon
Salmo trutta,Pomatoschistus minutus
Salmo trutta,Petromyzon marinus
Salmo trutta,Baetis rhodani
Salmo trutta,Rhithrogena semicolorata
Salmo trutta,Simulium vittatum
Salmo trutta,Hydropsyche pellucidula
Salmo trutta,Heptagenia sulphurea
Salmo trutta,Lymnaea stagnalis
Salmo trutta,Gammarus pulex
Salmo trutta,Gymnocephalus cernua
Salmo trutta,Sander lucioperca
Salmo trutta,Oncorhynchus mykiss
Salmo trutta,Lepomis macrochirus
Salmo trutta,Pungitius pungitius
Salmo trutta,Potamopyrgus antipodarum
Salmo trutta,Rutilus rutilus
Salmo trutta,Salvelinus fontinalis
Salmo trutta,Perca fluviatilis
Salmo trutta,Salmo salar
Salmo trutta,Salmo trutta
Lepomis gibbosus,Agabus brunneus
Lepomis gibbosus,Deronectes opatrinus
Lepomis gibbosus,Deronectes latus
Lepomis gibbosus,Deronectes moestus
Lepomis gibbosus,Hydroporus memnonius
Lepomis gibbosus,Hydroporus sabaudus
Lepomis gibbosus,Chironomus longistylus
Lepomis gibbosus,Psectrotanypus varius
Lepomis gibbosus,Pseudodiamesa branickii
Lepomis gibbosus,Ecdyonurus insignis
Lepomis gibbosus,Gammarus tigrinus
Lepomis gibbosus,Serratella ignita
Lepomis gibbosus,Ischnura pumilio
Lepomis gibbosus,Ephemera danica
Lepomis gibbosus,Aquarius paludum
Lepomis gibbosus,Paratendipes albimanus
Lepomis gibbosus,Coenagrion puella
