consumer,metrics,n_metrics
Abramis brama,ctmax,1
Abudefduf saxatilis,ctmax,1
Acanthocybium solandri,ctmax,1
Acanthogobius flavimanus,ctmax,1
Acanthopagrus schlegelii,ctmax,1
Acipenser brevirostrum,ltmax,1
Acipenser fulvescens,ctmax,1
Acipenser gueldenstaedtii,ctmax,1
Acipenser nudiventris,ctmax,1
Acipenser persicus,ctmax,1
Acipenser stellatus,ctmax,1
Acipenser sturio,ctmax,1
Acipenser transmontanus,ctmax,1
Agabus bipustulatus,ctmax,1
Agkistrodon contortrix,ctmax;ctmin,2
Agnetina capitata,ctmax,1
Alburnus alburnus,ctmax,1
Alburnus arborella,ctmax,1
Alosa aestivalis,ctmax,1
Alosa alosa,ctmax,1
Alosa fallax,ctmax,1
Alosa macedonica,ctmax,1
Alosa mediocris,ctmax,1
Alosa pseudoharengus,ctmax;lt50,2
Alosa sapidissima,ctmax;ltmax,2
Ambloplites rupestris,ctmax,1
Ameiurus catus,ctmax,1
Ameiurus nebulosus,ctmax;lt50,2
Amia calva,ctmax,1
Anax imperator,ctmax,1
Anax junius,ctmax,1
Anax longipes,ctmax,1
Anaxyrus boreas,ctmax,1
Anchoa mitchilli,ctmax,1
Anguilla anguilla,ctmax;ctmin;ltmax,3
Anguilla australis,ctmax;lt50,2
Anguilla dieffenbachii,ctmax;lt50,2
Anguilla marmorata,ctmax,1
Anguilla rostrata,ctmax,1
Anolis carolinensis,ctmax,1
Anolis cristatellus,ctmax;ctmin,2
Anolis sagrei,ctmax,1
Apalone ferox,ctmax,1
Apeltes quadracus,ctmax,1
Aplodinotus grunniens,ctmax;lt50,2
Archosargus probatocephalus,ctmax,1
Arizona elegans,ctmax,1
Armadillidium vulgare,ctmax,1
Astacus leptodactylus,ctmax,1
Astyanax bimaculatus,ctmax,1
Atherinella brasiliensis,ctmax,1
Atractosteus spatula,ctmax,1
Austrelaps superbus,ctmax;ctmin,2
Auxis rochei,ctmax,1
Auxis thazard,ctmax,1
Babka gymnotrachelus,ctmax,1
Bagrus docmak,ctmax,1
Barbatula barbatula,ctmax,1
Barbus barbus,ctmax,1
Barbus caninus,ctmax,1
Barbus plebejus,ctmax,1
Bathygobius soporator,ctmax,1
Belonesox belizanus,ctmax,1
Beryx splendens,ctmax,1
Blicca bjoerkna,ctmax,1
Bodianus rufus,ctmax,1
Brachyponera chinensis,ctmax,1
Butis butis,ctmax,1
Calamus brachysomus,ctmax,1
Calathus melanocephalus,ctmin,1
Canthigaster rostrata,ctmax,1
Carasobarbus canis,ctmax,1
Carassius carassius,ctmax;ctmin,2
Carassius gibelio,ctmax,1
Carcinus maenas,ctmax,1
Catostomus catostomus,ctmax,1
Catostomus commersonii,ctmax,1
Catostomus macrocheilus,ctmax,1
Centrolabrus exoletus,ctmax,1
Centropristis striata,ctmax,1
Chaenocephalus aceratus,ctmax,1
Channa marulius,ctmax,1
Channa micropeltes,ctmax,1
Channa punctata,ctmax,1
Channa striata,ctmax,1
Chanodichthys erythropterus,ctmax,1
Chanos chanos,ctmax,1
Charina bottae,ctmax,1
Cheimarrichthys fosteri,lt50,1
Chelon ramada,ctmax,1
Chelonodon patoca,ctmax,1
Chionodraco rastrospinosus,ctmax,1
Chitala chitala,ctmax,1
Chondrostoma nasus,ctmax,1
Chondrostoma soetta,ctmax,1
Chrosomus neogaeus,ctmax,1
Chrysemys picta,ctmax,1
Clarias anguillaris,ctmax,1
Clarias batrachus,ctmax,1
Clarias gariepinus,ctmax,1
Clarias stappersii,ctmax,1
Clupea harengus,ctmax,1
Clupea pallasii,ctmax,1
Cobitis bilineata,ctmax,1
Cobitis taenia,ctmax,1
Coenagrion puella,ctmax,1
Coluber constrictor,ctmax,1
Cordulegaster boltonii,ctmax,1
Coregonus albula,ctmax,1
Coregonus artedi,ctmax,1
Coregonus autumnalis,ctmax,1
Coregonus clupeaformis,ctmax;lt50,2
Coregonus lavaretus,ctmax,1
Coregonus peled,ctmax,1
Coryphoblennius galerita,ctmax,1
Cottus aleuticus,ctmax,1
Cottus asper,ctmax,1
Cottus cognatus,ctmax,1
Cottus gobio,ctmax,1
Crangon crangon,ctmax,1
Crangonyx pseudogracilis,ctmax;ltmax,2
Crematogaster lineolata,ctmax,1
Crotalus atrox,ctmax,1
Crotalus cerastes,ctmax,1
Crotalus scutulatus,ctmax,1
Crotalus viridis,ctmax,1
Ctenolabrus rupestris,ctmax,1
Ctenotus pantherinus,ctmax,1
Culaea inconstans,ctmax,1
