"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Abramis brama",645,829,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Abudefduf saxatilis",126,219,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acanthocybium solandri",32,106,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acanthogobius flavimanus",11,50,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acanthopagrus schlegelii",20,56,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser brevirostrum",62,78,0,"ltmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser fulvescens",8,64,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser gueldenstaedtii",16,35,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser nudiventris",1,7,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser persicus",2,11,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser stellatus",13,37,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser sturio",2,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Acipenser transmontanus",8,44,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Agabus bipustulatus",116,146,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Agkistrodon contortrix",32,58,0,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Agnetina capitata",3,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alburnus alburnus",378,522,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alburnus arborella",361,415,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alosa aestivalis",144,220,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alosa alosa",5,40,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alosa fallax",99,151,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alosa macedonica",3,6,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Alosa mediocris",90,107,0,"ctmax",1,"animal","verified thermal-source taxonomy"
