"item","value"
"GloBI endpoint","https://api.globalbioticinteractions.org/interaction.csv"
"GloBI interaction umbrella","eats"
"GloBI extraction time (UTC)","2026-08-26 13:40:49 UTC"
"GloBI consumers retained in thermal analysis","482"
"GloBI consumers with positive species-level degree","482"
"TetraEU consumers","375"
"TetraEU consumers with positive species-level degree","358"
"TetraEU source file","Data/TetraEU_pairwise_interactions.csv"
"Primary degree definition","Unique species-level non-self resources per consumer"
"Consumer eligibility rule","Only taxonomically verified animals; all taxa remain eligible as resources"
