"consumer","degree_all_taxa","degree_species","self_links","reported_source_names"
"Abudefduf saxatilis",219,126,0,1
"Acanthocybium solandri",106,32,0,1
"Acanthogobius flavimanus",50,11,0,1
"Acanthopagrus schlegelii",56,20,0,1
"Acipenser brevirostrum",78,62,0,1
"Acipenser fulvescens",64,8,0,1
"Acipenser gueldenstaedtii",35,16,0,1
"Acipenser nudiventris",7,1,0,1
"Acipenser persicus",11,2,0,1
"Acipenser transmontanus",44,8,0,1
"Alburnus alburnus",522,378,0,1
"Alosa alosa",40,5,0,1
"Alosa fallax",151,99,0,1
"Alosa macedonica",6,3,0,1
"Alosa pseudoharengus",181,87,0,1
"Alosa sapidissima",173,108,0,1
"Ambloplites rupestris",179,48,1,1
"Ameiurus catus",169,108,0,1
"Ameiurus natalis",153,106,1,1
"Ameiurus nebulosus",538,429,0,2
"Amia calva",49,17,0,1
"Anchoa mitchilli",240,106,1,2
"Anguilla anguilla",1477,1218,1,1
"Anguilla australis",90,23,0,1
"Anguilla dieffenbachii",62,17,0,1
"Anguilla marmorata",10,2,0,1
"Anguilla rostrata",73,42,0,1
"Aplodinotus grunniens",32,8,0,1
"Archosargus probatocephalus",89,20,1,1
"Astyanax bimaculatus",47,3,0,1
"Astyanax mexicanus",6,0,1,1
"Atherina boyeri",56,2,1,1
"Atherinops affinis",43,18,1,1
"Atractosteus spatula",24,7,1,1
"Auxis rochei",35,10,1,1
"Auxis thazard",33,6,1,1
"Bagrus docmak",69,22,0,1
"Barbatula barbatula",783,659,0,1
"Barbus barbus",748,652,0,1
"Barbus lacerta",0,0,0,0
"Barbus plebejus",1187,1079,0,1
"Bathygobius fuscus",62,18,1,1
"Bathygobius soporator",120,38,1,1
"Belonesox belizanus",2,1,0,1
"Bodianus rufus",183,124,0,1
"Butis butis",7,1,0,1
"Carasobarbus canis",21,5,0,1
"Carassius auratus",1228,1067,0,2
"Carassius carassius",1395,1066,0,3
"Carassius gibelio",1121,998,0,1
"Catostomus catostomus",30,1,0,1
"Catostomus macrocheilus",18,1,0,1
"Centropristis striata",182,111,0,1
"Chaenocephalus aceratus",53,19,1,1
"Channa marulius",3,1,0,1
