"query_name","source_taxon_name","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","consumer","reported_consumer","resource_name","resource_species","species_level","self_link","resource_key_all"
"Abudefduf saxatilis","Abudefduf saxatilis","preysOn","COL:7NMGG","Abyla","Eukaryota | Animalia | Cnidaria | Hydrozoa | Hydroidolina | Siphonophorae | Calycophorae | Abylidae | Abylinae | Abyla","Abudefduf saxatilis","Abudefduf saxatilis","Abyla",,FALSE,FALSE,"abyla"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","WD:Q2731593","Abylopsis eschscholtzi","Biota | Eukaryota | Amorphea | Obazoa | Opisthokonta | Holozoa | Filozoa | Apoikozoa | Animalia | Eumetazoa | Radiata | Cnidaria | Medusozoa | Hydrozoa | Hydroidolina | Siphonophorae | Abylidae | Abylopsis | Abylopsis eschscholtzi","Abudefduf saxatilis","Abudefduf saxatilis","Abylopsis eschscholtzi","Abylopsis eschscholtzi",TRUE,FALSE,"abylopsis eschscholtzi"
"Abudefduf saxatilis","Abudefduf saxatilis","preysOn","WD:Q56064734","Abylopsis eschscholtzii","Biota | Eukaryota | Amorphea | Obazoa | Opisthokonta | Holozoa | Filozoa | Apoikozoa | Animalia | Eumetazoa | Radiata | Cnidaria | Medusozoa | Hydrozoa | Hydroidolina | Siphonophorae | Abylidae | Abylopsis | Abylopsis eschscholtzii","Abudefduf saxatilis","Abudefduf saxatilis","Abylopsis eschscholtzii","Abylopsis eschscholtzii",TRUE,FALSE,"abylopsis eschscholtzii"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","NCBI:316209","Abylopsis tetragona","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Cnidaria | Hydrozoa | Hydroidolina | Siphonophorae | Calycophorae | Abylidae | Abylopsis | Abylopsis tetragona","Abudefduf saxatilis","Abudefduf saxatilis","Abylopsis tetragona","Abylopsis tetragona",TRUE,FALSE,"abylopsis tetragona"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","NCBI:385024","Acanthophora spicifera","root | cellular organisms | Eukaryota | Rhodophyta | Florideophyceae | Rhodymeniophycidae | Ceramiales | Rhodomelaceae | Chondrieae | Acanthophora | Acanthophora spicifera","Abudefduf saxatilis","Abudefduf saxatilis","Acanthophora spicifera","Acanthophora spicifera",TRUE,FALSE,"acanthophora spicifera"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","NCBI:2108329","Acartia lilljeborgii","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Crustacea | Multicrustacea | Hexanauplia | Copepoda | Neocopepoda | Gymnoplea | Calanoida | Acartiidae | Acartia | Acartia lilljeborgii","Abudefduf saxatilis","Abudefduf saxatilis","Acartia lilljeborgii","Acartia lilljeborgii",TRUE,FALSE,"acartia lilljeborgii"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","EOL:1020936","Acartia spinata","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Multicrustacea | Copepoda | Neocopepoda | Gymnoplea | Calanoida | Acartiidae | Acartia | Acartia subgen. Acanthacartia | Acartia spinata","Abudefduf saxatilis","Abudefduf saxatilis","Acartia spinata","Acartia spinata",TRUE,FALSE,"acartia spinata"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","EOL:1020212","Acartia tonsa","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Multicrustacea | Copepoda | Neocopepoda | Gymnoplea | Calanoida | Acartiidae | Acartia | Acartia subgen. Acanthacartia | Acartia tonsa","Abudefduf saxatilis","Abudefduf saxatilis","Acartia tonsa","Acartia tonsa",TRUE,FALSE,"acartia tonsa"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","NCBI:31357","Acrochaetium","root | cellular organisms | Eukaryota | Rhodophyta | Florideophyceae | Nemaliophycidae | Acrochaetiales | Acrochaetiaceae | Acrochaetium","Abudefduf saxatilis","Abudefduf saxatilis","Acrochaetium",,FALSE,FALSE,"acrochaetium"
"Abudefduf saxatilis","Abudefduf saxatilis","eats","EOL:1747","Actiniaria","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Cnidaria | Anthozoa | Hexacorallia | Actiniaria","Abudefduf saxatilis","Abudefduf saxatilis","Actiniaria",,FALSE,FALSE,"actiniaria"
