"consumer","degree_species","degree_all_taxa","self_links"
"Acanthodactylus boskianus",17,17,0
"Acanthodactylus schreiberi",0,0,1
"Accipiter brevipes",48,48,0
"Accipiter gentilis",201,201,1
"Accipiter nisus",226,226,1
"Acrocephalus agricola",5,5,0
"Acrocephalus arundinaceus",35,35,0
"Actitis hypoleucos",23,23,0
"Aegolius funereus",147,147,1
"Aegypius monachus",32,32,0
"Alcedo atthis",23,23,0
"Alopex lagopus",188,188,0
"Anas acuta",102,102,0
"Anas clypeata",102,102,0
"Anas penelope",102,102,0
"Anas platyrhynchos",102,102,0
"Anas querquedula",54,54,0
"Anas strepera",102,102,0
"Anguis cephallonica",155,155,1
"Anguis fragilis",163,163,1
"Anthus campestris",1,1,0
"Aquila adalberti",102,102,0
"Aquila chrysaetos",313,313,0
"Aquila clanga",188,188,0
"Aquila fasciata",167,167,0
"Aquila heliaca",183,183,0
"Aquila nipalensis",283,283,0
"Aquila pomarina",486,486,0
"Ardea alba",236,236,0
"Ardea cinerea",221,221,0
"Ardea purpurea",221,221,0
"Ardeola ralloides",72,72,0
"Asio flammeus",187,187,1
"Asio otus",357,357,0
"Atelerix algirus",362,362,0
"Athene noctua",222,222,0
"Aythya ferina",102,102,0
"Aythya nyroca",102,102,0
"Botaurus stellaris",143,143,0
"Bubo bubo",445,445,1
"Bubo scandiacus",344,344,0
"Bubulcus ibis",403,403,0
"Bucephala clangula",54,54,0
"Burhinus oedicnemus",338,338,0
"Buteo buteo",412,412,1
"Buteo lagopus",294,294,1
"Buteo rufinus",374,374,1
"Calotriton asper",75,75,1
"Canis aureus",549,549,0
"Canis lupus",703,703,0
"Ceryle rudis",23,23,0
"Chamaeleo chamaeleon",133,133,1
"Chlamydotis undulata",203,203,0
"Chlidonias hybrida",66,66,0
"Chlidonias leucopterus",54,54,0
"Chlidonias niger",54,54,0
"Chtoicocephalus ridibundus",79,79,0
"Ciconia ciconia",499,499,0
"Ciconia nigra",522,522,0
"Circaetus gallicus",132,132,0
"Circus aeruginosus",198,198,0
"Circus cyaneus",328,328,0
"Circus macrourus",276,276,0
"Circus pygargus",324,324,0
"Coloeus monedula",628,628,0
"Coracias garrulus",238,238,0
"Coronella austriaca",365,365,1
"Coronella girondica",382,382,1
"Corvus corax",898,898,1
"Corvus corone",899,899,1
"Corvus frugilegus",680,680,1
"Crex crex",54,54,0
"Cuculus canorus",88,88,0
"Cursorius cursor",105,105,0
"Cyanistes caeruleus",2,2,0
"Cyanopica cyanus",68,68,0
"Cygnus olor",54,54,0
"Dendrocopos major",34,34,0
"Dendrocopos medius",32,32,0
"Dendrocopos syriacus",33,33,0
"Desmana moschata",65,65,0
"Discoglossus montalentii",2,2,0
"Discoglossus pictus",0,0,1
"Discoglossus sardus",2,2,0
"Dolichophis caspius",584,584,1
"Dolichophis cypriensis",134,134,0
"Dolichophis jugularis",584,584,1
"Dolichophis schmidti",584,584,1
"Dryomys laniger",124,124,1
"Dryomys nitedula",124,124,1
"Egretta garzetta",172,172,0
"Eirenis aurolineatus",132,132,0
"Eirenis barani",132,132,0
"Eirenis coronelloides",132,132,0
"Eirenis modestus",132,132,0
"Elanus caeruleus",209,209,0
"Elaphe dione",912,912,1
"Elaphe quatuorlineata",499,499,0
"Elaphe sauromates",791,791,0
"Eliomys melanurus",124,124,1
"Eliomys quercinus",125,125,1
"Emys orbicularis",71,71,0
"Emys trinacris",71,71,0
"Erinaceus concolor",362,362,0
"Erinaceus europaeus",362,362,0
"Erinaceus roumanicus",362,362,0
"Erithacus rubecula",90,90,0
"Eryx jaculus",282,282,0
"Eumeces schneideri",131,131,1
"Euproctus montanus",80,80,1
"Falco biarmicus",336,336,0
"Falco cherrug",340,340,0
"Falco columbarius",353,353,0
"Falco eleonorae",149,149,0
"Falco naumanni",42,42,0
"Falco peregrinus",337,337,0
"Falco rusticolus",162,162,0
"Falco subbuteo",182,182,0
"Falco tinnunculus",494,494,1
"Falco vespertinus",354,354,0
"Felis chaus",369,369,0
"Felis manul",120,120,0
"Felis margarita",38,38,0
"Felis silvestris",615,615,0
"Francolinus francolinus",145,145,0
"Fulica atra",55,55,1
"Fulica cristata",55,55,1
"Fulmarus glacialis",3,3,0
"Gallinago gallinago",23,23,0
"Gallinula chloropus",51,51,0
"Gallotia stehlini",0,0,1
"Garrulus glandarius",356,356,1
"Gavia immer",23,23,0
"Gavia stellata",23,23,0
"Gelochelidon nilotica",40,40,0
"Genetta genetta",471,471,0
"Glaucidium passerinum",142,142,0
"Glis glis",124,124,1
"Gloydius intermedius",160,160,0
"Grus grus",510,510,0
"Gulo gulo",211,211,0
"Gypaetus barbatus",3,3,0
"Haematopus ostralegus",26,26,0
"Halcyon smyrnensis",426,426,0
"Haliaeetus albicilla",255,255,0
"Hemiechinus auritus",362,362,0
"Hemorrhois algirus",635,635,0
"Hemorrhois hippocrepis",544,544,0
"Hemorrhois nummifer",545,545,0
"Hemorrhois ravergieri",513,513,0
"Herpestes ichneumon",834,834,1
"Hieraaetus pennatus",99,99,0
"Hierophis gemonensis",579,579,1
"Hierophis viridiflavus",914,914,1
"Himantopus himantopus",85,85,0
"Hyaena hyaena",307,307,0
"Hydroprogne caspia",1,1,0
"Ichthyaetus audouinii",162,162,0
"Ichthyaetus ichthyaetus",114,114,1
"Ichthyaetus melanocephalus",128,128,0
"Ichthyosaura alpestris",72,72,1
"Ixobrychus minutus",134,134,0
"Jynx torquilla",29,29,1
"Lacerta agilis",131,131,1
"Lacerta bilineata",574,574,1
"Lacerta media",131,131,1
"Lacerta strigata",131,131,1
"Lacerta trilineata",357,357,1
"Lacerta viridis",575,575,1
"Lagopus muta",4,4,0
"Lanius collurio",411,411,1
"Lanius excubitor",518,518,1
"Lanius meridionalis",518,518,1
"Lanius minor",45,45,0
"Lanius nubicus",127,127,0
"Lanius senator",379,379,0
"Larus argentatus",540,540,1
"Larus armenicus",540,540,1
"Larus cachinnans",540,540,1
"Larus canus",123,123,0
"Larus fuscus",120,120,0
"Larus hyperboreus",8,8,0
"Larus marinus",127,127,1
"Limosa lapponica",102,102,0
"Lissotriton helveticus",0,0,1
"Lissotriton italicus",72,72,1
"Lutra lutra",70,70,0
"Lynx lynx",119,119,0
"Lynx pardinus",29,29,0
"Macroprotodon brevis",287,287,0
"Macroprotodon cucullatus",304,304,0
"Macroprotodon mauritanicus",287,287,0
"Macrovipera lebetina",499,499,0
"Macrovipera schweizeri",524,524,1
"Malpolon monspessulanus",697,697,1
"Martes foina",483,483,0
"Martes martes",325,325,0
"Martes zibellina",230,230,1
"Mauremys caspica",82,82,0
"Mauremys leprosa",71,71,1
"Mauremys rivulata",71,71,0
"Meles leucurus",67,67,0
"Meles meles",427,427,0
"Mergellus albellus",54,54,0
"Mergus merganser",11,11,0
"Mergus serrator",11,11,0
"Milvus migrans",316,316,0
"Milvus milvus",350,350,0
"Monticola saxatilis",94,94,0
"Monticola solitarius",227,227,0
"Montivipera albizona",579,579,1
"Montivipera bulgardaghica",579,579,1
"Montivipera raddei",499,499,0
"Montivipera wagneri",499,499,0
"Montivipera xanthina",579,579,1
"Motacilla cinerea",54,54,0
"Muscardinus avellanarius",124,124,1
"Mustela erminea",231,231,0
"Mustela eversmanii",389,389,0
"Mustela lutreola",182,182,0
"Mustela nivalis",520,520,0
"Mustela putorius",239,239,0
"Mustela sibirica",236,236,0
"Natrix maura",80,80,0
"Natrix natrix",226,226,0
"Natrix tessellata",72,72,0
"Neophron percnopterus",4,4,0
"Netta rufina",102,102,0
"Nucifraga caryocatactes",200,200,1
"Numenius arquata",298,298,0
"Numenius phaeopus",1,1,0
