consumer,metric,recorded_prey_species,prey_with_trait,prey_trait_coverage,included_in_analysis
Lepomis gibbosus,ctmax,1131,34,0.0300618921308576,true
Notemigonus crysoleucas,ctmax,108,1,0.00925925925925926,true
Perca flavescens,ctmax,133,21,0.157894736842105,true
Daphnia galeata,ctmax,37,0,0.0,false
Holacanthus passer,ctmax,55,1,0.0181818181818182,true
Notolabrus celidotus,ctmax,32,0,0.0,false
Lacerta agilis,ctmax,2520,12,0.00476190476190476,true
Pleuronectes platessa,ctmax,347,13,0.037463976945245,true
Ameiurus nebulosus,ctmax,470,5,0.0106382978723404,true
Anguilla anguilla,ctmax,1274,114,0.0894819466248038,true
Barbus caninus,ctmax,773,21,0.0271668822768435,true
Barbus plebejus,ctmax,1100,89,0.0809090909090909,true
Carassius carassius,ctmax,1109,39,0.0351668169522092,true
Carassius gibelio,ctmax,1024,29,0.0283203125,true
Coenagrion puella,ctmax,298,4,0.0134228187919463,true
Cordulegaster boltonii,ctmax,213,3,0.0140845070422535,true
Cyprinus carpio,ctmax,1057,34,0.032166508987701,true
Gammarus pulex,ctmax,479,4,0.00835073068893528,true
Gasterosteus aculeatus,ctmax,1403,43,0.0306486101211689,true
Gymnocephalus cernua,ctmax,662,38,0.0574018126888218,true
Hydropsyche pellucidula,ctmax,397,5,0.0125944584382872,true
Ischnura elegans,ctmax,780,3,0.00384615384615385,true
Micropterus salmoides,ctmax,473,109,0.230443974630021,true
Neogobius melanostomus,ctmax,1182,100,0.0846023688663283,true
Perca fluviatilis,ctmax,866,105,0.121247113163972,true
Salmo trutta,ctmax,1478,124,0.0838971583220569,true
Scardinius erythrophthalmus,ctmax,1034,30,0.0290135396518375,true
Sialis lutaria,ctmax,337,3,0.00890207715133531,true
Barbatula barbatula,ctmax,666,32,0.0480480480480481,true
Makaira nigricans,ctmax,82,12,0.146341463414634,true
Pagrus major,ctmax,74,3,0.0405405405405405,true
Gadus morhua,ctmax,736,31,0.0421195652173913,true
Labrus mixtus,ctmax,56,3,0.0535714285714286,true
Platichthys flesus,ctmax,221,18,0.081447963800905,true
Solea solea,ctmax,290,8,0.0275862068965517,true
Acipenser stellatus,ctmax,17,1,0.0588235294117647,true
Acipenser gueldenstaedtii,ctmax,22,3,0.136363636363636,true
Rutilus rutilus,ctmax,686,36,0.0524781341107872,true
Beryx splendens,ctmax,59,2,0.0338983050847458,true
Alosa fallax,ctmax,109,65,0.596330275229358,true
Barbus barbus,ctmax,656,89,0.135670731707317,true
Esox lucius,ctmax,889,133,0.149606299212598,true
Hucho hucho,ctmax,52,33,0.634615384615385,true
Huso huso,ctmax,45,21,0.466666666666667,true
Leuciscus aspius,ctmax,87,62,0.71264367816092,true
Lota lota,ctmax,700,120,0.171428571428571,true
Oncorhynchus mykiss,ctmax,816,118,0.144607843137255,true
Padogobius bonelli,ctmax,650,89,0.136923076923077,true
