pred,prey,interaction_sources,interaction_types,study_citations,pred_trait,prey_trait,trait_source_pred,trait_source_prey,absdiff
Abramis brama,Agabus bipustulatus,GloBI,preysOn,,30.32,37.07,ComteOlden,ThermoFresh,6.75
Abramis brama,Agapetus fuscipes,GloBI,preysOn,,30.32,25.8,ComteOlden,ThermoFresh,4.52
Abramis brama,Ancylus fluviatilis,GloBI,preysOn,,30.32,34.9,ComteOlden,ThermoFresh,4.579999999999998
Abramis brama,Aphelocheirus aestivalis,GloBI,preysOn,,30.32,34.53,ComteOlden,ThermoFresh,4.210000000000001
Abramis brama,Astacus leptodactylus,GloBI,preysOn,,30.32,37.8666666666667,ComteOlden,ThermoFresh,7.546666666666702
Abramis brama,Baetis rhodani,GloBI,preysOn,,30.32,25.1,ComteOlden,ThermoFresh,5.219999999999999
Abramis brama,Caenis luctuosa,GloBI,preysOn,,30.32,30.6,ComteOlden,ThermoFresh,0.28000000000000114
Abramis brama,Calopteryx virgo,GloBI,preysOn,,30.32,34.0225,ComteOlden,ThermoFresh,3.7025000000000006
Abramis brama,Coenagrion puella,GloBI,preysOn,,30.32,42.995,ComteOlden,ThermoFresh,12.674999999999997
Abramis brama,Deronectes latus,GloBI,preysOn,,30.32,37.04,ComteOlden,ThermoFresh,6.719999999999999
Abramis brama,Dikerogammarus villosus,GloBI,preysOn,,30.32,28.1328571428571,ComteOlden,ThermoFresh,2.1871428571428986
Abramis brama,Dinocras cephalotes,GloBI,preysOn,,30.32,34.6083333333333,ComteOlden,ThermoFresh,4.2883333333332985
Abramis brama,Drusus annulatus,GloBI,preysOn,,30.32,28.8,ComteOlden,ThermoFresh,1.5199999999999996
Abramis brama,Ecdyonurus insignis,GloBI,preysOn,,30.32,32.34,ComteOlden,ThermoFresh,2.020000000000003
Abramis brama,Echinogammarus berilloni,GloBI,preysOn,,30.32,30.3333333333333,ComteOlden,ThermoFresh,0.01333333333329989
Abramis brama,Echinogammarus ischnus,GloBI,preysOn,,30.32,31.5,ComteOlden,ThermoFresh,1.1799999999999997
Abramis brama,Ephemera danica,GloBI,preysOn,,30.32,36.7075,ComteOlden,ThermoFresh,6.387500000000003
Abramis brama,Gammarus fossarum,GloBI,preysOn,,30.32,28.774,ComteOlden,ThermoFresh,1.5459999999999994
Abramis brama,Gammarus pulex,GloBI,preysOn,,30.32,29.1161111111111,ComteOlden,ThermoFresh,1.2038888888889012
Abramis brama,Gammarus roeselii,GloBI,preysOn,,30.32,30.184,ComteOlden,ThermoFresh,0.13599999999999923
Abramis brama,Gammarus tigrinus,GloBI,preysOn,,30.32,32.6985714285714,ComteOlden,ThermoFresh,2.378571428571398
Abramis brama,Heptagenia sulphurea,GloBI,preysOn,,30.32,30.2,ComteOlden,ThermoFresh,0.120000000000001
Abramis brama,Hydropsyche pellucidula,GloBI,preysOn,,30.32,25.5,ComteOlden,ThermoFresh,4.82
Abramis brama,Ischnura elegans,GloBI,preysOn,,30.32,43.7361538461539,ComteOlden,ThermoFresh,13.416153846153897
Abramis brama,Ischnura pumilio,GloBI,preysOn,,30.32,45.515,ComteOlden,ThermoFresh,15.195
Abramis brama,Leuctra fusca,GloBI,preysOn,,30.32,30.1,ComteOlden,ThermoFresh,0.21999999999999886
Abramis brama,Nemurella pictetii,GloBI,preysOn,,30.32,30.1,ComteOlden,ThermoFresh,0.21999999999999886
Abramis brama,Physa fontinalis,GloBI,preysOn,,30.32,37.2433333333333,ComteOlden,ThermoFresh,6.9233333333332965
Abramis brama,Planorbarius corneus,GloBI,preysOn,,30.32,38.025,ComteOlden,ThermoFresh,7.704999999999998
Abramis brama,Planorbis carinatus,GloBI,preysOn,,30.32,40.3033333333333,ComteOlden,ThermoFresh,9.983333333333299
Abramis brama,Planorbis planorbis,GloBI,preysOn,,30.32,39.8433333333333,ComteOlden,ThermoFresh,9.523333333333298
Abramis brama,Potamopyrgus antipodarum,GloBI,eats;preysOn,,30.32,27.9033333333333,ComteOlden,ThermoFresh,2.4166666666667
Abramis brama,Rhithrogena semicolorata,GloBI,preysOn,,30.32,25.33,ComteOlden,ThermoFresh,4.990000000000002
Abramis brama,Rhyacophila dorsalis,GloBI,preysOn,,30.32,22.0,ComteOlden,ThermoFresh,8.32
Abramis brama,Serratella ignita,GloBI,preysOn,,30.32,32.3,ComteOlden,ThermoFresh,1.9799999999999969
Abudefduf saxatilis,Bodianus parrae,GloBI,eats;preysOn,,39.47,38.66,ComteOlden,ComteOlden,0.8100000000000023
Acanthocybium solandri,Auxis rochei,GloBI,preysOn,,35.8,34.0,ComteOlden,ComteOlden,1.7999999999999972
Acanthocybium solandri,Auxis thazard,GloBI,eats;preysOn,,35.8,33.83,ComteOlden,ComteOlden,1.9699999999999989
Acanthocybium solandri,Euthynnus alletteratus,GloBI,eats;preysOn,,35.8,33.67,ComteOlden,ComteOlden,2.1299999999999955
Acanthocybium solandri,Katsuwonus pelamis,GloBI,eats;preysOn,,35.8,34.28,ComteOlden,ComteOlden,1.519999999999996
Acanthocybium solandri,Sarda sarda,GloBI,eats;preysOn,,35.8,32.26,ComteOlden,ComteOlden,3.539999999999999
Acanthocybium solandri,Scomber scombrus,GloBI,preysOn,,35.8,33.2066666666667,ComteOlden,ComteOlden,2.593333333333298
Acanthocybium solandri,Scomberomorus regalis,GloBI,eats;preysOn,,35.8,35.86,ComteOlden,ComteOlden,0.060000000000002274
Acanthocybium solandri,Thunnus atlanticus,GloBI,eats;preysOn,,35.8,35.77,ComteOlden,ComteOlden,0.02999999999999403
