pred,prey,interaction_sources,interaction_types,study_citations,pred_trait,prey_trait,trait_source_pred,trait_source_prey,absdiff
Alosa pseudoharengus,Mya arenaria,GloBI,preysOn,,31.0,32.0,ThermoFresh,GlobTherm,1.0
Ameiurus nebulosus,Chironomus longistylus,GloBI,preysOn,,35.7,35.5,ThermoFresh,ThermoFresh,0.20000000000000284
Ameiurus nebulosus,Chironomus riparius,GloBI,preysOn,,35.7,34.5,ThermoFresh,ThermoFresh,1.2000000000000028
Ameiurus nebulosus,Dorosoma cepedianum,GloBI,eats;preysOn,,35.7,28.5,ThermoFresh,ThermoFresh,7.200000000000003
Ameiurus nebulosus,Dreissena polymorpha,GloBI,preysOn,,35.7,33.0,ThermoFresh,ThermoFresh,2.700000000000003
Ameiurus nebulosus,Gemma gemma,GloBI,preysOn,,35.7,35.0,ThermoFresh,GlobTherm,0.7000000000000028
Ameiurus nebulosus,Hyalella azteca,GloBI,eats;preysOn,,35.7,33.1,ThermoFresh,ThermoFresh,2.6000000000000014
Ameiurus nebulosus,Macoma balthica,GloBI,preysOn,,35.7,11.98,ThermoFresh,GlobTherm,23.720000000000002
Ameiurus nebulosus,Micropsectra junci,GloBI,preysOn,,35.7,29.0,ThermoFresh,ThermoFresh,6.700000000000003
Ameiurus nebulosus,Mulinia lateralis,GloBI,preysOn,,35.7,32.0,ThermoFresh,GlobTherm,3.700000000000003
Ameiurus nebulosus,Mya arenaria,GloBI,preysOn,,35.7,32.0,ThermoFresh,GlobTherm,3.700000000000003
Ameiurus nebulosus,Mytilus edulis,GloBI,preysOn,,35.7,11.15,ThermoFresh,GlobTherm,24.550000000000004
Ameiurus nebulosus,Paratendipes albimanus,GloBI,preysOn,,35.7,35.0,ThermoFresh,ThermoFresh,0.7000000000000028
Ameiurus nebulosus,Prodiamesa olivacea,GloBI,preysOn,,35.7,30.0,ThermoFresh,ThermoFresh,5.700000000000003
Ameiurus nebulosus,Psectrotanypus varius,GloBI,preysOn,,35.7,38.8,ThermoFresh,ThermoFresh,3.0999999999999943
Ameiurus nebulosus,Pseudodiamesa branickii,GloBI,preysOn,,35.7,32.11,ThermoFresh,ThermoFresh,3.5900000000000034
Anguilla australis,Galaxias maculatus,GloBI,eats;preysOn,,37.7,30.8,ThermoFresh,ThermoFresh,6.900000000000002
Anguilla australis,Gobiomorphus cotidianus,GloBI,eats;preysOn,,37.7,30.9,ThermoFresh,ThermoFresh,6.800000000000004
Anguilla australis,Potamopyrgus antipodarum,GloBI,eats;preysOn,,37.7,32.4,ThermoFresh,ThermoFresh,5.300000000000004
Anguilla australis,Retropinna retropinna,GloBI,eats;preysOn,,37.7,28.3,ThermoFresh,ThermoFresh,9.400000000000002
Anguilla dieffenbachii,Potamopyrgus antipodarum,GloBI,eats;preysOn,,36.05,32.4,ThermoFresh,ThermoFresh,3.6499999999999986
Anguilla dieffenbachii,Pycnocentrodes aureolus,GloBI,eats;preysOn,,36.05,32.4,ThermoFresh,ThermoFresh,3.6499999999999986
Anguilla dieffenbachii,Zelandobius furcillatus,GloBI,eats;preysOn,,36.05,25.75,ThermoFresh,ThermoFresh,10.299999999999997
Aplodinotus grunniens,Chironomus riparius,GloBI,preysOn,,32.8,34.5,ThermoFresh,ThermoFresh,1.7000000000000028
Aplodinotus grunniens,Corbicula fluminea,GloBI,eats;preysOn,,32.8,29.2833333333333,ThermoFresh,ThermoFresh,3.5166666666666977
Aplodinotus grunniens,Dreissena polymorpha,GloBI,eats;preysOn,,32.8,33.0,ThermoFresh,ThermoFresh,0.20000000000000284
Cheimarrichthys fosteri,Zelandobius furcillatus,GloBI,eats;preysOn,,30.0,25.75,ThermoFresh,ThermoFresh,4.25
Coregonus clupeaformis,Catostomus commersonii,GloBI,eats;preysOn,,24.474,24.4304347826087,ThermoFresh,ThermoFresh,0.04356521739130059
Coregonus clupeaformis,Dreissena polymorpha,GloBI,eats;preysOn,,24.474,33.0,ThermoFresh,ThermoFresh,8.526
Coregonus clupeaformis,Oncorhynchus nerka,GloBI,eats;preysOn,,24.474,13.77,ThermoFresh,ThermoFresh,10.704
Dikerogammarus villosus,Asellus aquaticus,GloBI,preysOn,,23.4,30.4,ThermoFresh,ThermoFresh,7.0
Dikerogammarus villosus,Baetis rhodani,GloBI,preysOn,,23.4,21.15,ThermoFresh,ThermoFresh,2.25
Dikerogammarus villosus,Baetis vernus,GloBI,preysOn,,23.4,21.3,ThermoFresh,ThermoFresh,2.099999999999998
Dikerogammarus villosus,Cloeon dipterum,GloBI,preysOn,,23.4,29.35,ThermoFresh,ThermoFresh,5.950000000000003
Dikerogammarus villosus,Ecdyonurus venosus,GloBI,preysOn,,23.4,26.6,ThermoFresh,ThermoFresh,3.200000000000003
Dikerogammarus villosus,Gammarus pulex,GloBI,preysOn,,23.4,25.5,ThermoFresh,ThermoFresh,2.1000000000000014
Dikerogammarus villosus,Potamopyrgus antipodarum,GloBI,preysOn,,23.4,32.4,ThermoFresh,ThermoFresh,9.0
Dikerogammarus villosus,Rhithrogena semicolorata,GloBI,preysOn,,23.4,23.55,ThermoFresh,ThermoFresh,0.15000000000000213
Dorosoma cepedianum,Gammarus fasciatus,GloBI,preysOn,,28.5,31.1,ThermoFresh,ThermoFresh,2.6000000000000014
