pred,prey,interaction_sources,interaction_types,study_citations,pred_trait,prey_trait,trait_source_pred,trait_source_prey,absdiff
Acipenser brevirostrum,Dreissena polymorpha,GloBI,preysOn,,35.45,35.7116666666667,ThermoFresh,ThermoFresh,0.2616666666666987
Alosa sapidissima,Gammarus tigrinus,GloBI,preysOn,,35.0,36.2254545454545,ThermoFresh,ThermoFresh,1.2254545454544967
Anguilla anguilla,Agapetus fuscipes,GloBI,preysOn,,36.15,35.2,ThermoFresh,ThermoFresh,0.9499999999999957
Anguilla anguilla,Ancylus fluviatilis,GloBI,eats;preysOn,,36.15,37.9,ThermoFresh,ThermoFresh,1.75
Anguilla anguilla,Aquarius paludum,GloBI,preysOn,,36.15,43.4,ThermoFresh,ThermoFresh,7.25
Anguilla anguilla,Asellus aquaticus,GloBI,eats;preysOn,,36.15,35.725,ThermoFresh,ThermoFresh,0.42499999999999716
Anguilla anguilla,Astacus astacus,GloBI,eats;preysOn,,36.15,35.3,ThermoFresh,ThermoFresh,0.8500000000000014
Anguilla anguilla,Baetis rhodani,GloBI,eats;preysOn,,36.15,25.7,ThermoFresh,ThermoFresh,10.45
Anguilla anguilla,Bithynia tentaculata,GloBI,preysOn,,36.15,38.3133333333333,ThermoFresh,ThermoFresh,2.1633333333332985
Anguilla anguilla,Caenis luctuosa,GloBI,preysOn,,36.15,38.0,ThermoFresh,ThermoFresh,1.8500000000000014
Anguilla anguilla,Calopteryx virgo,GloBI,preysOn,,36.15,38.9,ThermoFresh,ThermoFresh,2.75
Anguilla anguilla,Cloeon dipterum,GloBI,preysOn,,36.15,39.6,ThermoFresh,ThermoFresh,3.450000000000003
Anguilla anguilla,Ctenopharyngodon idella,GloBI,preysOn,,36.15,39.3,ThermoFresh,ThermoFresh,3.1499999999999986
Anguilla anguilla,Cyprinus carpio,GloBI,preysOn,,36.15,40.3714285714286,ThermoFresh,ThermoFresh,4.2214285714286035
Anguilla anguilla,Dikerogammarus villosus,GloBI,preysOn,,36.15,33.1654545454545,ThermoFresh,ThermoFresh,2.984545454545497
Anguilla anguilla,Dreissena polymorpha,GloBI,eats;preysOn,,36.15,35.7116666666667,ThermoFresh,ThermoFresh,0.43833333333329705
Anguilla anguilla,Drusus annulatus,GloBI,preysOn,,36.15,33.8,ThermoFresh,ThermoFresh,2.3500000000000014
Anguilla anguilla,Echinogammarus berilloni,GloBI,preysOn,,36.15,33.5871428571429,ThermoFresh,ThermoFresh,2.562857142857098
Anguilla anguilla,Echinogammarus ischnus,GloBI,preysOn,,36.15,33.5,ThermoFresh,ThermoFresh,2.6499999999999986
Anguilla anguilla,Ephemera danica,GloBI,preysOn,,36.15,38.7,ThermoFresh,ThermoFresh,2.5500000000000043
Anguilla anguilla,Gammarus fossarum,GloBI,preysOn,,36.15,32.6688888888889,ThermoFresh,ThermoFresh,3.4811111111110975
Anguilla anguilla,Gammarus pulex,GloBI,eats;preysOn,,36.15,35.1108333333333,ThermoFresh,ThermoFresh,1.039166666666702
Anguilla anguilla,Gammarus roeselii,GloBI,preysOn,,36.15,33.38,ThermoFresh,ThermoFresh,2.769999999999996
Anguilla anguilla,Gammarus tigrinus,GloBI,eats;preysOn,,36.15,36.2254545454545,ThermoFresh,ThermoFresh,0.07545454545449815
Anguilla anguilla,Heptagenia sulphurea,GloBI,preysOn,,36.15,32.3,ThermoFresh,ThermoFresh,3.8500000000000014
Anguilla anguilla,Hydropsyche pellucidula,GloBI,eats;preysOn,,36.15,32.3,ThermoFresh,ThermoFresh,3.8500000000000014
Anguilla anguilla,Hypophthalmichthys nobilis,GloBI,preysOn,,36.15,38.8,ThermoFresh,ThermoFresh,2.6499999999999986
Anguilla anguilla,Leuctra fusca,GloBI,eats;preysOn,,36.15,34.8,ThermoFresh,ThermoFresh,1.3500000000000014
Anguilla anguilla,Limnius volckmari,GloBI,eats;preysOn,,36.15,36.5,ThermoFresh,ThermoFresh,0.3500000000000014
Anguilla anguilla,Nemurella pictetii,GloBI,preysOn,,36.15,33.1,ThermoFresh,ThermoFresh,3.049999999999997
Anguilla anguilla,Pleuronectes platessa,GloBI,eats,,36.15,34.0,ThermoFresh,ThermoFresh,2.1499999999999986
Anguilla anguilla,Rhyacophila dorsalis,GloBI,eats;preysOn,,36.15,24.6,ThermoFresh,ThermoFresh,11.549999999999997
Anguilla anguilla,Serratella ignita,GloBI,eats;preysOn,,36.15,35.0,ThermoFresh,ThermoFresh,1.1499999999999986
Anguilla anguilla,Sialis lutaria,GloBI,eats;preysOn,,36.15,40.7,ThermoFresh,ThermoFresh,4.550000000000004
Crangonyx pseudogracilis,Baetis rhodani,GloBI,preysOn,,37.1333333333333,25.7,ThermoFresh,ThermoFresh,11.433333333333298
Cyprinus carpio,Agapetus fuscipes,GloBI,preysOn,,40.3714285714286,35.2,ThermoFresh,ThermoFresh,5.171428571428599
